dealer_id,service_id,vehicle_id,service_date,service_type,odometer,parts_cost,labour_cost,failure_code,repair_cost,dealer_name,city,region,capacity,rating
D0070,SVC0092207,VEH783699,2023-09-28,AC Repair,38343,9128,13680,FC107,22808,BMW_Patna_70,Patna,East,652,4.5
D0069,SVC0092208,VEH541617,2025-11-10,Engine Repair,236168,18669,4097,FC108,22766,BMW_Gurugram_69,Gurugram,North,533,4.9
D0072,SVC0092219,VEH913098,2024-07-29,AC Repair,35228,40671,12643,FC101,53314,BMW_Ahmedabad_72,Ahmedabad,West,787,4.3
D0482,SVC0092230,VEH551322,2026-03-03,Battery Check,121892,21374,6423,FC101,27797,BMW_Gurugram_482,Gurugram,North,121,3.1
D0215,SVC0092246,VEH206672,2024-12-04,Battery Check,133675,47251,5837,FC103,53088,BMW_Patna_215,Patna,East,661,3.9
D0139,SVC0092249,VEH237649,2023-12-13,Wheel Alignment,35145,28810,728,FC108,29538,BMW_Bengaluru_139,Bengaluru,South,103,3.7
D0086,SVC0092250,VEH956910,2025-04-27,Oil Change,86296,27184,5724,FC104,32908,BMW_Surat_86,Surat,West,984,4.5
D0094,SVC0092264,VEH134504,2026-06-21,Software Update,280273,24574,8357,FC101,32931,BMW_Bhubaneswar_94,Bhubaneswar,East,976,4.1
D0378,SVC0092273,VEH998180,2023-02-17,Wheel Alignment,234210,3101,5636,FC104,8737,BMW_Patna_378,Patna,East,239,4.7
D0395,SVC0092276,VEH658934,2024-10-26,Brake Service,259531,8000,10244,FC103,18244,BMW_Pune_395,Pune,West,990,3.2
D0095,SVC0092287,VEH380353,2023-04-09,Tire Replacement,130812,17271,12813,NONE,30084,BMW_Bengaluru_95,Bengaluru,South,767,5.0
D0302,SVC0092295,VEH611984,2025-07-14,Battery Check,192306,1149,2192,FC105,3341,BMW_Mumbai_302,Mumbai,West,202,4.7
D0359,SVC0092296,VEH837454,2023-09-02,Battery Check,194654,39447,14636,FC102,54083,BMW_Kolkata_359,Kolkata,East,513,4.7
D0078,SVC0092304,VEH758793,2025-10-17,Engine Repair,228629,15840,5799,FC104,21639,BMW_Chennai_78,Chennai,South,132,4.7
D0422,SVC0092308,VEH841943,2026-02-27,Oil Change,257452,36577,7230,FC104,43807,BMW_Mumbai_422,Mumbai,West,793,4.1
D0359,SVC0092314,VEH290050,2025-02-23,Engine Repair,92876,23340,6978,FC108,30318,BMW_Kolkata_359,Kolkata,East,513,4.7
D0436,SVC0092323,VEH411376,2024-09-14,Oil Change,22310,25030,2905,FC105,27935,BMW_Kochi_436,Kochi,South,721,4.6
D0229,SVC0092330,VEH399323,2024-11-23,AC Repair,291032,21050,6237,FC107,27287,BMW_Chandigarh_229,Chandigarh,North,120,4.7
D0327,SVC0092339,VEH536287,2024-08-21,Tire Replacement,296621,41210,14741,FC104,55951,BMW_Bengaluru_327,Bengaluru,South,518,3.9
D0347,SVC0092340,VEH741858,2023-08-30,Wheel Alignment,203092,17127,11380,FC105,28507,BMW_Kolkata_347,Kolkata,East,788,4.6
D0425,SVC0092350,VEH258035,2024-09-25,Battery Check,110810,14687,12095,FC103,26782,BMW_Ahmedabad_425,Ahmedabad,West,806,3.5
D0441,SVC0092351,VEH106002,2023-11-18,Engine Repair,126397,20647,2568,FC107,23215,BMW_Jaipur_441,Jaipur,North,761,3.1
D0327,SVC0092355,VEH184428,2025-12-19,AC Repair,158441,4581,971,NONE,5552,BMW_Bengaluru_327,Bengaluru,South,518,3.9
D0142,SVC0092357,VEH939670,2025-08-30,Battery Check,72226,39203,12539,FC107,51742,BMW_Chandigarh_142,Chandigarh,North,537,4.1
D0475,SVC0092363,VEH928673,2023-08-25,Oil Change,293337,28775,6169,FC104,34944,BMW_Kochi_475,Kochi,South,554,3.9
D0491,SVC0092365,VEH952393,2025-12-09,Battery Check,187126,17751,12154,FC105,29905,BMW_Chennai_491,Chennai,South,776,4.7
D0321,SVC0092366,VEH472247,2024-01-17,Tire Replacement,197449,8299,3443,FC106,11742,BMW_Gurugram_321,Gurugram,North,539,3.6
D0444,SVC0092372,VEH111647,2023-01-02,Engine Repair,66534,49281,3742,NONE,53023,BMW_Patna_444,Patna,East,402,3.7
D0075,SVC0092375,VEH362299,2024-03-08,Battery Check,105935,32047,6966,FC107,39013,BMW_Bengaluru_75,Bengaluru,South,702,4.1
D0324,SVC0092376,VEH753789,2024-01-29,Oil Change,48623,38776,7708,FC107,46484,BMW_Kochi_324,Kochi,South,740,3.4
D0478,SVC0092377,VEH385685,2023-11-17,Software Update,10103,695,1544,FC107,2239,BMW_Jaipur_478,Jaipur,North,467,3.1
D0438,SVC0092379,VEH217041,2026-02-11,Brake Service,57795,14632,6661,FC106,21293,BMW_Mumbai_438,Mumbai,West,794,4.5
D0483,SVC0092387,VEH508060,2025-06-23,Engine Repair,266874,41448,3357,FC108,44805,BMW_Pune_483,Pune,West,349,5.0
D0155,SVC0092389,VEH593299,2025-12-11,Tire Replacement,230638,41033,7340,FC103,48373,BMW_Ahmedabad_155,Ahmedabad,West,125,3.4
D0112,SVC0092390,VEH406940,2023-01-15,Brake Service,248468,42177,10817,FC101,52994,BMW_Jaipur_112,Jaipur,North,982,3.5
D0098,SVC0092391,VEH405257,2024-01-06,Software Update,2911,49552,5020,FC108,54572,BMW_Hyderabad_98,Hyderabad,South,516,4.0
D0193,SVC0092420,VEH113068,2024-09-12,Wheel Alignment,121502,40443,5234,FC106,45677,BMW_Kolkata_193,Kolkata,East,915,4.5
D0123,SVC0092423,VEH491860,2025-06-16,Battery Check,151172,14422,780,FC106,15202,BMW_Kochi_123,Kochi,South,618,3.5
D0084,SVC0092430,VEH175345,2024-07-15,Software Update,223092,8811,10251,FC105,19062,BMW_Kochi_84,Kochi,South,196,3.2
D0439,SVC0092432,VEH536536,2025-11-16,Wheel Alignment,256147,9879,11014,FC108,20893,BMW_Kolkata_439,Kolkata,East,775,4.4
D0215,SVC0092433,VEH325401,2023-12-31,Brake Service,130815,42111,10721,FC108,52832,BMW_Patna_215,Patna,East,661,3.9
D0174,SVC0092435,VEH630531,2023-11-14,Oil Change,107012,10782,687,FC106,11469,BMW_Delhi_174,Delhi,North,218,3.8
D0455,SVC0092445,VEH373430,2026-05-13,Oil Change,99216,26121,11246,FC102,37367,BMW_Kolkata_455,Kolkata,East,670,3.7
D0393,SVC0092448,VEH602022,2023-04-01,Engine Repair,247210,49147,10104,NONE,59251,BMW_Hyderabad_393,Hyderabad,South,607,4.9
D0125,SVC0092464,VEH184078,2023-12-19,Wheel Alignment,185220,31441,13745,FC107,45186,BMW_Patna_125,Patna,East,350,3.7
D0287,SVC0092467,VEH784660,2025-07-15,Wheel Alignment,245789,39649,6395,FC106,46044,BMW_Chandigarh_287,Chandigarh,North,516,4.0
D0430,SVC0092471,VEH817363,2025-06-03,Engine Repair,172204,46353,4778,FC102,51131,BMW_Mumbai_430,Mumbai,West,122,5.0
D0181,SVC0092479,VEH929685,2024-12-29,Oil Change,8406,32537,14236,FC101,46773,BMW_Jaipur_181,Jaipur,North,968,3.2
D0484,SVC0092487,VEH334105,2023-08-22,Engine Repair,67594,37688,10226,FC106,47914,BMW_Kolkata_484,Kolkata,East,678,3.4
D0322,SVC0092488,VEH465629,2024-01-09,Engine Repair,251937,4123,3212,FC107,7335,BMW_Gurugram_322,Gurugram,North,161,4.2
D0484,SVC0092493,VEH420298,2024-09-24,Tire Replacement,54655,37842,12123,FC102,49965,BMW_Kolkata_484,Kolkata,East,678,3.4
D0201,SVC0092505,VEH669371,2025-11-13,Battery Check,4347,13428,6505,NONE,19933,BMW_Surat_201,Surat,West,524,4.8
D0204,SVC0092512,VEH650788,2023-08-19,Battery Check,109508,34493,12294,NONE,46787,BMW_Hyderabad_204,Hyderabad,South,771,4.4
D0175,SVC0092523,VEH350678,2024-03-01,Software Update,255785,24129,8095,FC102,32224,BMW_Gurugram_175,Gurugram,North,294,3.5
D0275,SVC0092524,VEH247437,2025-05-11,Tire Replacement,33385,49926,2882,FC101,52808,BMW_Kolkata_275,Kolkata,East,651,4.5
D0034,SVC0092526,VEH828125,2023-11-19,Battery Check,47319,15643,10344,FC105,25987,BMW_Ahmedabad_34,Ahmedabad,West,374,3.1
D0420,SVC0092529,VEH267749,2026-04-15,Tire Replacement,77761,2119,9532,FC102,11651,BMW_Mumbai_420,Mumbai,West,570,3.5
D0275,SVC0092540,VEH152756,2023-05-23,AC Repair,268272,9981,12833,FC108,22814,BMW_Kolkata_275,Kolkata,East,651,4.5
D0264,SVC0092558,VEH957480,2024-10-07,Wheel Alignment,272844,23152,9991,FC104,33143,BMW_Chennai_264,Chennai,South,813,4.5
D0077,SVC0092559,VEH441603,2023-04-26,Wheel Alignment,251701,29277,9164,FC105,38441,BMW_Chandigarh_77,Chandigarh,North,746,3.1
D0095,SVC0092571,VEH596755,2025-11-08,Oil Change,59762,4295,2830,FC104,7125,BMW_Bengaluru_95,Bengaluru,South,767,5.0
D0090,SVC0092578,VEH706292,2026-01-09,Brake Service,149188,40502,13217,FC108,53719,BMW_Kochi_90,Kochi,South,296,3.4
D0017,SVC0092579,VEH148374,2023-01-26,Battery Check,88727,40170,6311,FC104,46481,BMW_Chennai_17,Chennai,South,487,3.2
D0356,SVC0092580,VEH714770,2025-12-12,Tire Replacement,93003,3360,13333,NONE,16693,BMW_Jaipur_356,Jaipur,North,510,4.6
D0233,SVC0092586,VEH195558,2023-02-22,Brake Service,131686,39619,4846,FC106,44465,BMW_Bhubaneswar_233,Bhubaneswar,East,529,4.1
D0490,SVC0092594,VEH251253,2024-01-18,Battery Check,234620,28539,14893,NONE,43432,BMW_Delhi_490,Delhi,North,356,4.6
D0257,SVC0092601,VEH857352,2024-01-15,Brake Service,151792,18336,8308,FC106,26644,BMW_Gurugram_257,Gurugram,North,721,4.9
D0259,SVC0092606,VEH327131,2023-05-10,Wheel Alignment,285117,21746,11575,FC103,33321,BMW_Hyderabad_259,Hyderabad,South,418,3.2
D0203,SVC0092607,VEH468151,2023-10-29,Brake Service,168054,42779,9855,FC106,52634,BMW_Ahmedabad_203,Ahmedabad,West,606,3.8
D0446,SVC0092611,VEH935030,2025-06-30,AC Repair,18602,24435,3349,FC101,27784,BMW_Kolkata_446,Kolkata,East,652,4.8
D0018,SVC0092614,VEH595021,2024-11-13,Tire Replacement,74601,22651,1270,FC108,23921,BMW_Mumbai_18,Mumbai,West,949,4.3
D0094,SVC0092625,VEH509718,2023-01-27,Battery Check,185783,20771,8774,FC107,29545,BMW_Bhubaneswar_94,Bhubaneswar,East,976,4.1
D0128,SVC0092632,VEH220143,2023-03-17,Software Update,187716,3225,7236,FC103,10461,BMW_Kolkata_128,Kolkata,East,769,4.1
D0446,SVC0092633,VEH996259,2024-04-27,Engine Repair,124540,14665,11404,FC104,26069,BMW_Kolkata_446,Kolkata,East,652,4.8
D0325,SVC0092637,VEH576486,2023-01-07,AC Repair,51983,7274,7029,NONE,14303,BMW_Jaipur_325,Jaipur,North,183,3.3
D0200,SVC0092638,VEH796415,2023-12-30,AC Repair,184260,35367,13530,NONE,48897,BMW_Gurugram_200,Gurugram,North,970,4.5
D0273,SVC0092639,VEH216131,2024-03-18,Brake Service,220066,49693,3453,FC101,53146,BMW_Hyderabad_273,Hyderabad,South,545,3.4
D0148,SVC0092641,VEH159263,2025-07-22,Software Update,215730,38228,6487,FC101,44715,BMW_Kolkata_148,Kolkata,East,981,3.1
D0456,SVC0092650,VEH776909,2026-04-05,Software Update,168832,24625,5844,FC107,30469,BMW_Kolkata_456,Kolkata,East,504,3.0
D0168,SVC0092664,VEH371590,2024-12-28,Engine Repair,220452,22082,9527,NONE,31609,BMW_Bhubaneswar_168,Bhubaneswar,East,649,3.7
D0355,SVC0092677,VEH574605,2026-07-14,Battery Check,161784,43205,5760,FC107,48965,BMW_Ahmedabad_355,Ahmedabad,West,810,4.0
D0156,SVC0092682,VEH998160,2025-10-15,Engine Repair,164624,31994,6966,FC107,38960,BMW_Patna_156,Patna,East,440,4.6
D0135,SVC0092686,VEH733451,2025-04-23,Brake Service,280339,20666,1879,FC108,22545,BMW_Jaipur_135,Jaipur,North,749,4.7
D0218,SVC0092697,VEH936733,2024-07-03,AC Repair,289450,5122,2677,FC101,7799,BMW_Bhubaneswar_218,Bhubaneswar,East,752,3.6
D0370,SVC0092702,VEH911774,2025-11-22,Software Update,63507,20607,11293,FC104,31900,BMW_Chennai_370,Chennai,South,330,5.0
D0193,SVC0092707,VEH619521,2024-03-12,Tire Replacement,65173,5964,10609,FC108,16573,BMW_Kolkata_193,Kolkata,East,915,4.5
D0197,SVC0092719,VEH737281,2023-07-16,AC Repair,262114,35958,13963,FC102,49921,BMW_Kochi_197,Kochi,South,788,3.6
D0486,SVC0092723,VEH944903,2023-04-12,AC Repair,93952,8871,13848,FC107,22719,BMW_Gurugram_486,Gurugram,North,321,4.6
D0343,SVC0092735,VEH152110,2026-02-26,Tire Replacement,198462,15204,14996,FC107,30200,BMW_Patna_343,Patna,East,542,4.5
D0280,SVC0092737,VEH523198,2025-08-10,Oil Change,286440,30806,2053,FC102,32859,BMW_Surat_280,Surat,West,683,4.2
D0335,SVC0092748,VEH309806,2026-06-11,Brake Service,239132,27861,6657,FC106,34518,BMW_Jaipur_335,Jaipur,North,252,4.8
D0018,SVC0092753,VEH441560,2023-11-05,Brake Service,296424,7787,3466,FC108,11253,BMW_Mumbai_18,Mumbai,West,949,4.3
D0002,SVC0092756,VEH519481,2025-07-27,Oil Change,278715,22682,1498,FC106,24180,BMW_Mumbai_2,Mumbai,West,350,3.4
D0345,SVC0092758,VEH645575,2023-12-07,Battery Check,284459,19042,11182,FC103,30224,BMW_Kochi_345,Kochi,South,790,4.7
D0298,SVC0092767,VEH943816,2025-08-11,Tire Replacement,28140,39779,14296,FC108,54075,BMW_Chandigarh_298,Chandigarh,North,648,4.9
D0063,SVC0092768,VEH392912,2023-11-07,Brake Service,54392,3275,13717,FC106,16992,BMW_Bengaluru_63,Bengaluru,South,346,4.8
D0028,SVC0092778,VEH379468,2025-11-24,Engine Repair,130973,28157,10967,FC101,39124,BMW_Hyderabad_28,Hyderabad,South,646,4.5
D0217,SVC0092781,VEH821572,2023-04-06,Brake Service,177623,45060,904,FC108,45964,BMW_Surat_217,Surat,West,365,4.5
D0357,SVC0092782,VEH510148,2024-04-29,AC Repair,260581,28003,14961,FC101,42964,BMW_Delhi_357,Delhi,North,137,3.9
D0027,SVC0092799,VEH877904,2024-05-14,Battery Check,197001,33549,1694,FC105,35243,BMW_Jaipur_27,Jaipur,North,173,4.2
D0269,SVC0092807,VEH971474,2023-05-17,Oil Change,1273,20470,9284,FC105,29754,BMW_Delhi_269,Delhi,North,763,3.7
D0299,SVC0092810,VEH986284,2025-01-21,Battery Check,56168,42045,7764,FC101,49809,BMW_Chandigarh_299,Chandigarh,North,289,3.4
D0101,SVC0092815,VEH967601,2024-01-04,Tire Replacement,28345,8266,8474,FC103,16740,BMW_Ahmedabad_101,Ahmedabad,West,371,4.9
D0213,SVC0092820,VEH600827,2025-08-29,Tire Replacement,4725,8797,7312,FC108,16109,BMW_Kolkata_213,Kolkata,East,553,4.2
D0289,SVC0092827,VEH196733,2023-04-18,Battery Check,249633,21965,3551,NONE,25516,BMW_Jaipur_289,Jaipur,North,828,4.0
D0325,SVC0092828,VEH532414,2024-06-06,Wheel Alignment,28474,13114,7608,FC101,20722,BMW_Jaipur_325,Jaipur,North,183,3.3
D0344,SVC0092833,VEH930470,2024-09-09,Software Update,65180,45768,8646,FC108,54414,BMW_Gurugram_344,Gurugram,North,356,3.1
D0055,SVC0092835,VEH226187,2023-04-05,Tire Replacement,151371,28308,12428,FC103,40736,BMW_Delhi_55,Delhi,North,208,4.7
D0145,SVC0092852,VEH872842,2023-07-06,Brake Service,101942,46251,9342,FC105,55593,BMW_Bhubaneswar_145,Bhubaneswar,East,478,4.2
D0457,SVC0092853,VEH286956,2025-01-28,Software Update,117180,38340,9905,FC102,48245,BMW_Delhi_457,Delhi,North,226,3.9
D0014,SVC0092854,VEH125292,2025-01-26,Software Update,42266,9444,6515,FC108,15959,BMW_Ahmedabad_14,Ahmedabad,West,199,3.7
D0230,SVC0092857,VEH458226,2024-12-26,AC Repair,268721,6704,11675,NONE,18379,BMW_Kolkata_230,Kolkata,East,689,3.8
D0217,SVC0092864,VEH717393,2023-06-21,Brake Service,7216,26182,5768,FC107,31950,BMW_Surat_217,Surat,West,365,4.5
D0279,SVC0092866,VEH578537,2024-12-10,Engine Repair,107423,31744,8813,FC107,40557,BMW_Mumbai_279,Mumbai,West,561,3.5
D0310,SVC0092871,VEH244322,2023-05-22,Tire Replacement,240661,48496,4578,FC101,53074,BMW_Surat_310,Surat,West,448,3.4
D0008,SVC0092877,VEH386499,2025-11-25,Wheel Alignment,84027,21936,1998,FC102,23934,BMW_Jaipur_8,Jaipur,North,818,4.1
D0150,SVC0092878,VEH356573,2025-08-16,Oil Change,144139,49153,9950,FC101,59103,BMW_Jaipur_150,Jaipur,North,205,3.7
D0054,SVC0092880,VEH529279,2024-01-08,AC Repair,220609,20904,2629,FC108,23533,BMW_Mumbai_54,Mumbai,West,612,4.5
D0403,SVC0092896,VEH908836,2023-02-05,Software Update,188048,34882,10161,FC108,45043,BMW_Delhi_403,Delhi,North,489,4.9
D0139,SVC0092906,VEH314489,2024-10-01,Battery Check,59340,25007,4259,FC108,29266,BMW_Bengaluru_139,Bengaluru,South,103,3.7
D0346,SVC0092909,VEH482716,2023-03-01,Software Update,139784,45861,7052,FC103,52913,BMW_Gurugram_346,Gurugram,North,701,4.9
D0498,SVC0092913,VEH294099,2023-10-24,AC Repair,177278,45251,9421,FC106,54672,BMW_Gurugram_498,Gurugram,North,211,3.9
D0228,SVC0092924,VEH501699,2024-02-07,Engine Repair,224222,42364,11058,FC108,53422,BMW_Ahmedabad_228,Ahmedabad,West,888,4.2
D0316,SVC0092927,VEH651498,2023-02-25,Oil Change,31843,8079,5729,FC104,13808,BMW_Mumbai_316,Mumbai,West,187,5.0
D0278,SVC0092929,VEH559050,2023-02-17,Engine Repair,158260,7468,9104,FC103,16572,BMW_Kochi_278,Kochi,South,950,4.9
D0075,SVC0092932,VEH875769,2024-01-18,Tire Replacement,30355,31544,1964,FC102,33508,BMW_Bengaluru_75,Bengaluru,South,702,4.1
D0336,SVC0092935,VEH150195,2023-05-13,Wheel Alignment,279945,1800,11700,FC101,13500,BMW_Bhubaneswar_336,Bhubaneswar,East,245,3.1
D0164,SVC0092936,VEH470425,2026-01-01,AC Repair,176778,24108,10936,FC105,35044,BMW_Kochi_164,Kochi,South,124,4.3
D0007,SVC0092937,VEH985887,2024-12-26,Wheel Alignment,245053,27969,8453,FC108,36422,BMW_Bengaluru_7,Bengaluru,South,674,3.4
D0309,SVC0092942,VEH754980,2023-03-05,Software Update,260983,36745,8779,FC108,45524,BMW_Gurugram_309,Gurugram,North,391,3.9
D0076,SVC0092965,VEH271645,2025-03-27,AC Repair,132149,15638,9940,NONE,25578,BMW_Gurugram_76,Gurugram,North,325,3.0
D0205,SVC0092968,VEH994386,2026-01-24,Software Update,83295,49721,2405,FC102,52126,BMW_Patna_205,Patna,East,868,4.7
D0390,SVC0092971,VEH913328,2024-03-26,Oil Change,66859,20441,9719,FC104,30160,BMW_Bengaluru_390,Bengaluru,South,425,4.5
D0167,SVC0092976,VEH996611,2024-02-29,Wheel Alignment,278851,16663,10052,FC103,26715,BMW_Jaipur_167,Jaipur,North,621,3.8
D0263,SVC0092978,VEH261668,2023-09-08,Brake Service,142793,41969,13714,FC103,55683,BMW_Chandigarh_263,Chandigarh,North,950,4.3
D0453,SVC0092987,VEH697172,2024-04-07,Software Update,228428,42933,4332,FC104,47265,BMW_Kochi_453,Kochi,South,980,4.4
D0102,SVC0092992,VEH778850,2023-08-16,Battery Check,70977,3272,904,FC105,4176,BMW_Kolkata_102,Kolkata,East,565,3.6
D0315,SVC0092997,VEH613726,2025-12-13,AC Repair,24276,29927,2151,FC107,32078,BMW_Hyderabad_315,Hyderabad,South,930,4.1
D0397,SVC0092998,VEH574936,2024-01-03,Oil Change,68956,32078,12083,FC107,44161,BMW_Patna_397,Patna,East,567,3.0
D0263,SVC0093017,VEH485651,2025-07-22,Wheel Alignment,242732,11516,3948,FC102,15464,BMW_Chandigarh_263,Chandigarh,North,950,4.3
D0044,SVC0093029,VEH918757,2026-07-11,AC Repair,107923,24680,7621,FC103,32301,BMW_Hyderabad_44,Hyderabad,South,742,3.3
D0497,SVC0093035,VEH581759,2023-06-27,Battery Check,109657,38240,9069,FC105,47309,BMW_Surat_497,Surat,West,896,3.7
D0310,SVC0093059,VEH521517,2026-03-11,AC Repair,139203,46699,6885,NONE,53584,BMW_Surat_310,Surat,West,448,3.4
D0234,SVC0093063,VEH491827,2025-07-16,Software Update,101080,26035,5457,FC106,31492,BMW_Chandigarh_234,Chandigarh,North,659,4.6
D0268,SVC0093077,VEH127400,2024-08-04,Engine Repair,12638,7542,12321,FC107,19863,BMW_Ahmedabad_268,Ahmedabad,West,777,3.7
D0281,SVC0093085,VEH506780,2025-09-05,Engine Repair,207226,26408,13971,FC108,40379,BMW_Ahmedabad_281,Ahmedabad,West,444,3.1
D0050,SVC0093091,VEH196978,2023-06-18,Battery Check,75606,11218,1606,FC103,12824,BMW_Patna_50,Patna,East,649,4.5
D0432,SVC0093095,VEH476862,2025-09-08,Battery Check,141414,7678,2143,FC102,9821,BMW_Gurugram_432,Gurugram,North,985,4.4
D0497,SVC0093106,VEH155025,2025-02-15,AC Repair,79652,9660,11446,FC107,21106,BMW_Surat_497,Surat,West,896,3.7
D0018,SVC0093108,VEH329001,2023-06-23,Software Update,237862,3342,14800,FC103,18142,BMW_Mumbai_18,Mumbai,West,949,4.3
D0440,SVC0093112,VEH310873,2024-05-28,Software Update,195194,29403,2358,FC103,31761,BMW_Hyderabad_440,Hyderabad,South,743,3.2
D0230,SVC0093115,VEH698618,2025-08-17,Tire Replacement,2493,42984,6882,FC108,49866,BMW_Kolkata_230,Kolkata,East,689,3.8
D0437,SVC0093120,VEH647402,2025-01-28,Engine Repair,157000,23799,13231,FC105,37030,BMW_Kochi_437,Kochi,South,751,3.4
D0145,SVC0093122,VEH126521,2026-04-29,Battery Check,178392,11351,2128,NONE,13479,BMW_Bhubaneswar_145,Bhubaneswar,East,478,4.2
D0441,SVC0093125,VEH846443,2024-02-13,Engine Repair,25673,48652,14258,FC105,62910,BMW_Jaipur_441,Jaipur,North,761,3.1
D0417,SVC0093137,VEH684911,2023-02-10,Engine Repair,157111,41749,8718,FC103,50467,BMW_Bhubaneswar_417,Bhubaneswar,East,491,4.2
D0092,SVC0093143,VEH565818,2023-11-04,Engine Repair,48987,43676,13287,FC104,56963,BMW_Mumbai_92,Mumbai,West,573,3.5
D0136,SVC0093145,VEH978865,2024-04-22,Oil Change,225138,30367,8285,FC102,38652,BMW_Delhi_136,Delhi,North,600,3.5
D0001,SVC0093146,VEH430408,2025-01-01,AC Repair,201146,21943,11724,FC107,33667,BMW_Jaipur_1,Jaipur,North,214,3.1
D0246,SVC0093150,VEH157967,2023-03-06,AC Repair,231414,713,7723,NONE,8436,BMW_Kolkata_246,Kolkata,East,1000,3.8
D0277,SVC0093157,VEH951973,2024-02-27,Oil Change,114615,9200,9942,FC106,19142,BMW_Gurugram_277,Gurugram,North,374,3.6
D0455,SVC0093173,VEH248557,2024-08-11,Tire Replacement,6653,20461,11564,FC105,32025,BMW_Kolkata_455,Kolkata,East,670,3.7
D0235,SVC0093177,VEH851662,2025-07-19,AC Repair,144480,1303,8681,FC102,9984,BMW_Patna_235,Patna,East,325,4.0
D0225,SVC0093182,VEH216154,2023-10-24,Brake Service,218350,39639,5697,FC101,45336,BMW_Kochi_225,Kochi,South,165,3.8
D0202,SVC0093185,VEH981785,2023-02-23,Tire Replacement,36741,42178,6743,FC103,48921,BMW_Gurugram_202,Gurugram,North,299,4.4
D0396,SVC0093187,VEH835743,2023-03-23,Tire Replacement,119709,43326,11585,FC103,54911,BMW_Bhubaneswar_396,Bhubaneswar,East,550,3.2
D0296,SVC0093195,VEH220062,2023-08-28,Battery Check,64234,22335,7798,FC106,30133,BMW_Mumbai_296,Mumbai,West,357,3.5
D0477,SVC0093196,VEH861420,2023-12-31,Engine Repair,181546,43915,5623,FC107,49538,BMW_Jaipur_477,Jaipur,North,476,4.1
D0109,SVC0093197,VEH148254,2024-09-17,Brake Service,288239,20882,11325,FC105,32207,BMW_Patna_109,Patna,East,973,4.1
D0293,SVC0093202,VEH593891,2023-08-24,Oil Change,260286,40949,2894,FC107,43843,BMW_Surat_293,Surat,West,666,4.1
D0290,SVC0093211,VEH114392,2025-12-14,Oil Change,151057,40120,2941,FC108,43061,BMW_Kolkata_290,Kolkata,East,117,3.2
D0094,SVC0093214,VEH362108,2024-03-31,Tire Replacement,68543,46820,8498,FC105,55318,BMW_Bhubaneswar_94,Bhubaneswar,East,976,4.1
D0487,SVC0093217,VEH550983,2025-08-11,AC Repair,156792,42876,14605,FC108,57481,BMW_Kochi_487,Kochi,South,436,4.5
D0399,SVC0093218,VEH422914,2024-02-28,AC Repair,74303,14597,2401,FC105,16998,BMW_Hyderabad_399,Hyderabad,South,176,3.9
D0061,SVC0093223,VEH274853,2024-11-01,Brake Service,186385,27156,322,FC105,27478,BMW_Chennai_61,Chennai,South,471,4.8
D0027,SVC0093226,VEH460352,2025-08-08,Wheel Alignment,218256,8276,4005,NONE,12281,BMW_Jaipur_27,Jaipur,North,173,4.2
D0476,SVC0093246,VEH124314,2024-12-23,Oil Change,136773,10870,2585,FC101,13455,BMW_Kochi_476,Kochi,South,975,3.7
D0269,SVC0093256,VEH211055,2024-01-14,Tire Replacement,180358,12952,14034,FC101,26986,BMW_Delhi_269,Delhi,North,763,3.7
D0011,SVC0093264,VEH465055,2023-10-27,Engine Repair,212712,47938,5439,FC101,53377,BMW_Kolkata_11,Kolkata,East,263,4.4
D0082,SVC0093271,VEH914116,2023-09-28,Brake Service,198982,44610,2306,FC105,46916,BMW_Gurugram_82,Gurugram,North,690,3.9
D0298,SVC0093276,VEH743247,2024-04-04,Software Update,151917,38548,3639,NONE,42187,BMW_Chandigarh_298,Chandigarh,North,648,4.9
D0463,SVC0093285,VEH968777,2026-06-14,Software Update,109892,3611,14293,FC105,17904,BMW_Kochi_463,Kochi,South,763,3.1
D0182,SVC0093290,VEH254681,2025-07-03,Engine Repair,178876,48347,1414,FC102,49761,BMW_Patna_182,Patna,East,407,4.0
D0034,SVC0093291,VEH636068,2025-03-22,Battery Check,51786,13720,8887,FC108,22607,BMW_Ahmedabad_34,Ahmedabad,West,374,3.1
D0180,SVC0093292,VEH745849,2023-10-24,Software Update,24943,31158,2895,NONE,34053,BMW_Jaipur_180,Jaipur,North,438,4.2
D0307,SVC0093299,VEH162270,2024-02-03,Software Update,169995,5676,6430,NONE,12106,BMW_Hyderabad_307,Hyderabad,South,753,4.7
D0397,SVC0093301,VEH795830,2026-07-08,AC Repair,157669,6219,3248,FC104,9467,BMW_Patna_397,Patna,East,567,3.0
D0255,SVC0093304,VEH846217,2024-10-08,Oil Change,201138,26281,7453,FC107,33734,BMW_Gurugram_255,Gurugram,North,323,3.9
D0144,SVC0093308,VEH306028,2025-10-30,Battery Check,251309,46032,13128,FC101,59160,BMW_Chandigarh_144,Chandigarh,North,252,4.1
D0043,SVC0093319,VEH483984,2026-07-18,Software Update,95402,14622,11175,FC105,25797,BMW_Kolkata_43,Kolkata,East,148,4.7
D0227,SVC0093327,VEH790953,2023-04-01,Brake Service,220049,38899,650,FC103,39549,BMW_Bengaluru_227,Bengaluru,South,311,4.7
D0104,SVC0093328,VEH711300,2023-11-09,AC Repair,64037,16813,14861,FC102,31674,BMW_Delhi_104,Delhi,North,777,4.4
